touch_x, touch_y, sensor_type, time_since_1970, x, y, z
-2.0, -2.0, ACCEL, 75810.6347702917, -0.0281982421875, -0.702713012695312, -0.69775390625
-2.0, -2.0, ACCEL, 75810.6247302917, -0.0323486328125, -0.705368041992188, -0.7060546875
-2.0, -2.0, ACCEL, 75810.6147202917, -0.0339813232421875, -0.7083740234375, -0.714508056640625
-2.0, -2.0, ACCEL, 75810.6046802917, -0.0357818603515625, -0.7030029296875, -0.724884033203125
-2.0, -2.0, ACCEL, 75810.5946392917, -0.0412445068359375, -0.700332641601562, -0.732696533203125
-2.0, -2.0, ACCEL, 75810.5845992917, -0.0390472412109375, -0.708236694335938, -0.73919677734375
-2.0, -2.0, ACCEL, 75810.5745592917, -0.0326385498046875, -0.719528198242188, -0.730133056640625
-2.0, -2.0, ACCEL, 75810.5645492917, -0.021759033203125, -0.727310180664062, -0.715255737304688
-2.0, -2.0, ACCEL, 75810.5545092917, -0.01031494140625, -0.732864379882812, -0.687850952148438
-2.0, -2.0, ACCEL, 75810.5444682917, 0.0035247802734375, -0.7384033203125, -0.649703979492188
-2.0, -2.0, ACCEL, 75810.5344282917, 0.0191650390625, -0.748672485351562, -0.622879028320312
-2.0, -2.0, ACCEL, 75810.5244182917, 0.023590087890625, -0.76141357421875, -0.602447509765625
-2.0, -2.0, ACCEL, 75810.5143782917, 0.030853271484375, -0.759780883789062, -0.575881958007812
-2.0, -2.0, ACCEL, 75810.5043382917, 0.03729248046875, -0.762680053710938, -0.567764282226562
-2.0, -2.0, ACCEL, 75810.4942972917, 0.0383453369140625, -0.764266967773438, -0.563308715820312
-2.0, -2.0, ACCEL, 75810.4842882917, 0.031494140625, -0.746856689453125, -0.560562133789062
-2.0, -2.0, ACCEL, 75810.4742472917, 0.0247650146484375, -0.752792358398438, -0.593765258789062
-0.443555582682292, 0.475262368815592, ACCEL, 75810.4642072917, 0.0267181396484375, -0.769195556640625, -0.622390747070312
-0.443555582682292, 0.475262368815592, ACCEL, 75810.4541672917, 0.0303497314453125, -0.741409301757812, -0.631210327148438
-0.443555582682292, 0.475262368815592, ACCEL, 75810.444141625, 0.032501220703125, -0.753555297851562, -0.658737182617188
-0.443555582682292, 0.475262368815592, ACCEL, 75810.434131625, 0.0313873291015625, -0.753952026367188, -0.672134399414062
-0.443555582682292, 0.475262368815592, ACCEL, 75810.424091625, 0.034210205078125, -0.755340576171875, -0.686996459960938
-0.443555582682292, 0.475262368815592, ACCEL, 75810.414050625, 0.029052734375, -0.75677490234375, -0.697860717773438
-0.443555582682292, 0.475262368815592, ACCEL, 75810.404010625, 0.0219268798828125, -0.7515869140625, -0.696334838867188
-0.443555582682292, 0.475262368815592, ACCEL, 75810.394000625, 0.006317138671875, -0.743743896484375, -0.695343017578125
-0.443555582682292, 0.475262368815592, ACCEL, 75810.383960625, -0.006927490234375, -0.746505737304688, -0.697998046875
-0.443555582682292, 0.475262368815592, ACCEL, 75810.373920625, -0.0077972412109375, -0.75079345703125, -0.686996459960938
-0.443555582682292, 0.475262368815592, ACCEL, 75810.363879625, -0.0058441162109375, -0.74761962890625, -0.684829711914062
-0.443555582682292, 0.475262368815592, ACCEL, 75810.353870625, -0.00823974609375, -0.735198974609375, -0.6854248046875
-0.443555582682292, 0.475262368815592, ACCEL, 75810.343829625, -0.005340576171875, -0.730560302734375, -0.663131713867188
-0.443555582682292, 0.475262368815592, ACCEL, 75810.333789625, -0.002593994140625, -0.769912719726562, -0.662933349609375
-0.443555582682292, 0.475262368815592, ACCEL, 75810.323749625, 0.0049285888671875, -0.768600463867188, -0.640869140625
-2.0, -2.0, ACCEL, 75810.313739625, -0.0315399169921875, -0.746383666992188, -0.630828857421875
-2.0, -2.0, ACCEL, 75810.303699625, -0.040008544921875, -0.739334106445312, -0.620223999023438
